ID,郵便番号,都道府県,都道府県カナ,市区町村,市区町村カナ,町域,町域カナ
57,407-0058,山梨県,ヤマナシケン,韮崎市,ニラサキシ,清哲町水上,セイテツマチミズカミ
58,400-0224,山梨県,ヤマナシケン,南アルプス市,ミナミアルプスシ,飯野新田,イイノシンデン
59,408-8522,山梨県,ヤマナシケン,北杜市,ホクトシ,小淵沢町,コブチサワチョウ
60,390-8605,長野県,ナガノケン,松本市,マツモトシ,蟻ケ崎,アリガサキ
61,390-0814,長野県,ナガノケン,松本市,マツモトシ,本庄,ホンジョウ
62,386-0192,長野県,ナガノケン,上田市,ウエダシ,大屋,オオヤ
63,501-3214,岐阜県,ギフケン,関市,セキシ,貸上町,カシアゲチョウ
64,508-8511,岐阜県,ギフケン,中津川市,ナカツガワシ,小川町,オガワチョウ
65,501-3746,岐阜県,ギフケン,美濃市,ミノシ,中央,チュウオウ
66,422-8072,静岡県,シズオカケン,静岡市駿河区,シズオカシスルガク,小黒,オグロ
67,424-0193,静岡県,シズオカケン,静岡市清水区,シズオカシシミズク,庵原町,イハラチョウ
68,430-8687,静岡県,シズオカケン,浜松市中区,ハママツシナカク,板屋町,イタヤマチ
69,454-0954,愛知県,アイチケン,名古屋市中川区,ナゴヤシナカガワク,江松,エマツ
70,455-0077,愛知県,アイチケン,名古屋市港区,ナゴヤシミナトク,小割通,コワリドオリ
71,463-0091,愛知県,アイチケン,名古屋市守山区,ナゴヤシモリヤマク,川上町,カワカミチョウ
72,516-8505,三重県,ミエケン,伊勢市,イセシ,大世古,オオゼコ
73,515-0072,三重県,ミエケン,松阪市,マツサカシ,内五曲町,ウチゴマガリチョウ
74,511-0043,三重県,ミエケン,桑名市,クワナシ,新屋敷,シンヤシキ
75,529-1835,滋賀県,シガケン,甲賀市,コウカシ,信楽町中野,シガラキチョウナカノ
76,520-2302,滋賀県,シガケン,野洲市,ヤスシ,高木,タカギ
77,520-1211,滋賀県,シガケン,高島市,タカシマシ,安曇川町常磐木,アドガワチョウトキワギ
78,602-0824,京都府,キョウトフ,京都市上京区,キョウトシカミギョウク,一真町,イッシンチョウ
79,606-8144,京都府,キョウトフ,京都市左京区,キョウトシサキョウク,一乗寺堂ノ前町,イチジョウジドウノマエチョウ
80,604-0975,京都府,キョウトフ,京都市中京区,キョウトシナカギョウク,菊屋町,キクヤチョウ
81,558-0047,大阪府,オオサカフ,大阪市住吉区,オオサカシスミヨシク,千躰,センタイ
82,546-0003,大阪府,オオサカフ,大阪市東住吉区,オオサカシヒガシスミヨシク,今川,イマガワ
83,557-0024,大阪府,オオサカフ,大阪市西成区,オオサカシニシナリク,出城,デシロ
84,655-0048,兵庫県,ヒョウゴケン,神戸市垂水区,コウベシタルミク,西舞子,ニシマイコ
85,651-1604,兵庫県,ヒョウゴケン,神戸市北区,コウベシキタク,淡河町勝雄,オウゴチョウカツオ
86,650-0034,兵庫県,ヒョウゴケン,神戸市中央区,コウベシチュウオウク,京町,キョウマチ
87,637-0014,奈良県,ナラケン,五條市,ゴジョウシ,住川町,スガワチョウ
88,639-2236,奈良県,ナラケン,御所市,ゴセシ,代官町,ダイカンマチ
89,630-0243,奈良県,ナラケン,生駒市,イコマシ,俵口町,タワラグチチョウ
90,640-8239,和歌山県,ワカヤマケン,和歌山市,ワカヤマシ,上町,ウワマチ
91,642-0034,和歌山県,ワカヤマケン,海南市,カイナンシ,藤白,フジシロ
92,648-0066,和歌山県,ワカヤマケン,橋本市,ハシモトシ,胡麻生,ゴモウ
93,680-0443,鳥取県,トットリケン,八頭郡八頭町,ヤズグンヤズチョウ,郡家殿,コウゲトノ
94,682-0134,鳥取県,トットリケン,東伯郡三朝町,トウハクグンミササチョウ,余戸,ヨド
95,689-2325,鳥取県,トットリケン,東伯郡琴浦町,トウハクグンコトウラチョウ,法万,ホウマン
96,690-0831,島根県,シマネケン,松江市,マツエシ,大海崎町,オオミサキチョウ
97,699-3302,島根県,シマネケン,浜田市,ハマダシ,三隅町芦谷,ミスミチョウアシダニ
98,693-0012,島根県,シマネケン,出雲市,イズモシ,大津新崎町,オオツシンザキチョウ
99,714-0077,岡山県,オカヤマケン,笠岡市,カサオカシ,篠坂,シノサカ
100,714-1402,岡山県,オカヤマケン,井原市,イバラシ,美星町宇戸谷,ビセイチョウウトダニ
101,719-1315,岡山県,オカヤマケン,総社市,ソウジャシ,宇山,ウヤマ
102,732-0005,広島県,ヒロシマケン,広島市東区,ヒロシマシヒガシク,戸坂桜東町,ヘサカサクラヒガシマチ
103,732-0819,広島県,ヒロシマケン,広島市南区,ヒロシマシミナミク,段原山崎,ダンバラヤマサキ
104,733-0861,広島県,ヒロシマケン,広島市西区,ヒロシマシニシク,草津東,クサツヒガシ
105,740-0028,山口県,ヤマグチケン,岩国市,イワクニシ,楠町,クスノキマチ
106,743-0193,山口県,ヤマグチケン,光市,ヒカリシ,岩田,イワタ
107,742-0005,山口県,ヤマグチケン,柳井市,ヤナイシ,天神,テンジン
108,770-0871,徳島県,トクシマケン,徳島市,トクシマシ,金沢,カナザワ
109,772-8510,徳島県,トクシマケン,鳴門市,ナルトシ,撫養町大桑島,ムヤチョウオオクワジマ
110,773-0019,徳島県,トクシマケン,小松島市,コマツシマシ,豊浦町,トヨウラチョウ
111,769-2192,香川県,カガワケン,さぬき市,サヌキシ,志度,シド
112,769-2514,香川県,カガワケン,東かがわ市,ヒガシカガワシ,松崎,マツサキ
113,767-0004,香川県,カガワケン,三豊市,ミトヨシ,高瀬町比地,タカセチョウヒジ
114,790-0022,愛媛県,エヒメケン,松山市,マツヤマシ,永代町,エイダイマチ
115,794-1401,愛媛県,エヒメケン,今治市,イマバリシ,上浦町盛,カミウラチョウサカリ
116,798-0027,愛媛県,エヒメケン,宇和島市,ウワジマシ,柿原,カキハラ
117,785-0055,高知県,コウチケン,須崎市,スサキシ,大谷,オオタニ
118,788-0003,高知県,コウチケン,宿毛市,スクモシ,幸町,サイワイチョウ
119,787-0242,高知県,コウチケン,土佐清水市,トサシミズシ,下ノ加江,シモノカエ
120,800-0045,福岡県,フクオカケン,北九州市門司区,キタキュウシュウシモジク,青葉台,アオバダイ
121,808-8550,福岡県,フクオカケン,北九州市若松区,キタキュウシュウシワカマツク,安瀬,アンセ
122,804-8510,福岡県,フクオカケン,北九州市戸畑区,キタキュウシュウシトバタク,新池,シンイケ
123,845-0004,佐賀県,サガケン,小城市,オギシ,小城町松尾,オギマチマツオ
124,849-1416,佐賀県,サガケン,嬉野市,ウレシノシ,塩田町大草野乙,シオタチョウオオクサノオツ
125,842-0053,佐賀県,サガケン,神埼市,カンザキシ,千代田町直鳥,チヨダチョウナオトリ
126,852-8136,長崎県,ナガサキケン,長崎市,ナガサキシ,家野町,イエノマチ
127,858-0926,長崎県,ナガサキケン,佐世保市,サセボシ,大潟町,オオガタチョウ
128,855-0817,長崎県,ナガサキケン,島原市,シマバラシ,浦田,ウラタ
129,864-0013,熊本県,クマモトケン,荒尾市,アラオシ,上井手,カミイデ
130,867-0042,熊本県,クマモトケン,水俣市,ミナマタシ,大園町,オオゾノチョウ
131,865-0065,熊本県,クマモトケン,玉名市,タマナシ,築地,ツイジ
132,870-8562,大分県,オオイタケン,大分市,オオイタシ,荷揚町,ニアゲマチ
133,874-0025,大分県,オオイタケン,別府市,ベップシ,亀川四の湯町,カメガワシノユマチ
134,871-0027,大分県,オオイタケン,中津市,ナカツシ,上宮永,カミミヤナガ
135,888-0222,宮崎県,ミヤザキケン,串間市,クシマシ,都井,トイ
136,881-0101,宮崎県,ミヤザキケン,西都市,サイトシ,三納,ミノウ
137,889-4232,宮崎県,ミヤザキケン,えびの市,エビノシ,西長江浦,ニシナガエウラ
138,890-8540,鹿児島県,カゴシマケン,鹿児島市,カゴシマシ,鴨池新町,カモイケシンマチ
139,891-2313,鹿児島県,カゴシマケン,鹿屋市,カノヤシ,天神町,テンジンチョウ
140,898-0028,鹿児島県,カゴシマケン,枕崎市,マクラザキシ,大塚中町,オオツカナカマチ
141,901-0213,沖縄県,オキナワケン,豊見城市,トミグスクシ,高嶺,タカミネ
142,904-1106,沖縄県,オキナワケン,うるま市,ウルマシ,石川,イシカワ
143,906-0104,沖縄県,オキナワケン,宮古島市,ミヤコジマシ,城辺比嘉,グスクベヒガ
